TF-gene,10hpf,12hpf,14hpf,16hpf,19hpf,24hpf,TF,TF_family,max
myf5_eef1a1l1,0.029435271,0.04162246,0.0329639,0.0,0.0,0.0,myf5,myf,12hpf
myf5_hes6,0.027469149,0.058904994,0.043516625,0.0,0.0,0.0,myf5,myf,12hpf
myf5_serpinh1b,0.0,0.031512223,0.0,0.0,0.016343435,0.0,myf5,myf,12hpf
myf5_msx1b,-0.033115856,0.0,-0.035044026,0.0,0.0,0.0,myf5,myf,12hpf
myf5_gli2a,0.0,0.0,0.0,0.019982556,0.01275969,0.0,myf5,myf,12hpf
myf5_fgfrl1a,0.0,0.0,0.0,0.020789847,0.015731944,0.0,myf5,myf,12hpf
myf5_rxraa,0.0,0.0,0.0,0.020095697,0.02019804,0.0,myf5,myf,12hpf
myf5_efemp2a,0.0,0.0,0.0,0.027055306,0.0,0.0044078003,myf5,myf,12hpf
myf5_cx43.4,0.0,-0.026298173,0.0,0.0,0.012961674,0.0,myf5,myf,12hpf
myf5_nucks1a,0.05620447,0.07274157,0.049519394,0.041514207,0.0,0.0,myf5,myf,12hpf
myf5_cirbpa,0.070521116,0.06774533,0.066395886,0.028311133,0.0,0.0,myf5,myf,12hpf
myf5_rack1,0.034437656,0.043238774,0.11085588,0.0,0.0,0.0,myf5,myf,12hpf
myf5_serbp1a,0.0,0.020608597,0.022258824,0.0,0.0,0.0,myf5,myf,12hpf
